global_step=44264, episodic_return=[-36.99], time=0.02611994743347168
global_step=44328, episodic_return=[-85.89], time=0.024093151092529297
global_step=44432, episodic_return=[-22.22], time=0.04237198829650879
global_step=44472, episodic_return=[-20.09], time=0.015471696853637695
global_step=44480, episodic_return=[-638.27], time=0.00321197509765625
global_step=44824, episodic_return=[-33.13], time=0.12387490272521973
global_step=44872, episodic_return=[-11.81], time=0.021270751953125
global_step=45040, episodic_return=[-71.47], time=0.05957174301147461
global_step=45216, episodic_return=[-118.98], time=0.06473135948181152
global_step=45376, episodic_return=[-37.45], time=0.06056618690490723
global_step=45400, episodic_return=[-70.28], time=0.008082389831542969
global_step=45752, episodic_return=[-599.99], time=0.13745832443237305
global_step=45920, episodic_return=[-25.], time=0.0625302791595459
global_step=46032, episodic_return=[-9.35], time=0.042940616607666016
global_step=46144, episodic_return=[-622.82], time=0.04966568946838379
global_step=46272, episodic_return=[-77.65], time=0.05327486991882324
global_step=46424, episodic_return=[18.7], time=0.06546998023986816
global_step=46608, episodic_return=[-175.63], time=0.07644295692443848
global_step=46712, episodic_return=[-24.5], time=0.04375600814819336
global_step=46792, episodic_return=[  -1.45 -125.66], time=0.03019404411315918
global_step=47168, episodic_return=[-94.55], time=0.1374204158782959
global_step=47256, episodic_return=[-33.71], time=0.03491544723510742
global_step=47376, episodic_return=[-57.54], time=0.04346728324890137
global_step=47408, episodic_return=[-15.28], time=0.015428543090820312
global_step=47616, episodic_return=[-22.57], time=0.08234739303588867
global_step=47648, episodic_return=[-24.34], time=0.011554718017578125
global_step=47728, episodic_return=[-102.68], time=0.03726458549499512
global_step=47824, episodic_return=[-11.78], time=0.0410914421081543
global_step=47896, episodic_return=[20.63], time=0.030126571655273438
global_step=47976, episodic_return=[-668.38], time=0.03204822540283203
global_step=48296, episodic_return=[-14.04], time=0.12412238121032715
global_step=48312, episodic_return=[-40.], time=0.005640506744384766
global_step=48368, episodic_return=[-74.12], time=0.024117708206176758
global_step=48640, episodic_return=[-200.32], time=0.11293959617614746
global_step=48648, episodic_return=[-59.3], time=0.0029158592224121094
global_step=48840, episodic_return=[-37.18], time=0.08017849922180176
global_step=48848, episodic_return=[-1.42], time=0.003784656524658203
global_step=48912, episodic_return=[-40.16], time=0.029804229736328125
global_step=48976, episodic_return=[-2.48], time=0.03188967704772949
global_step=49008, episodic_return=[-15.56], time=0.01605391502380371
global_step=49256, episodic_return=[-25.26], time=2.1064343452453613
global_step=49336, episodic_return=[-24.55], time=0.04295611381530762
global_step=49400, episodic_return=[-32.14], time=0.030011892318725586
global_step=49552, episodic_return=[-98.44], time=0.06718635559082031
global_step=49664, episodic_return=[-11.8], time=0.05207991600036621
global_step=49800, episodic_return=[-33.85], time=0.058241844177246094
global_step=49912, episodic_return=[-20.64], time=0.046660661697387695
global_step=50128, episodic_return=[-14.55], time=0.11045265197753906
global_step=50888, episodic_return=[-18.68], time=0.31972241401672363
global_step=51184, episodic_return=[-48.38], time=0.13569402694702148
global_step=51360, episodic_return=[-95.71], time=0.06747817993164062
global_step=51504, episodic_return=[-11.96], time=0.059834957122802734
global_step=51656, episodic_return=[-61.28], time=0.06554460525512695
global_step=51720, episodic_return=[-4.53], time=0.022853851318359375
global_step=51848, episodic_return=[-20.73], time=0.050412893295288086
global_step=52008, episodic_return=[-622.8], time=0.06526684761047363
global_step=52136, episodic_return=[-26.56], time=0.05598640441894531
global_step=52360, episodic_return=[-31.8], time=0.08619308471679688
global_step=52424, episodic_return=[-12.89], time=0.025578737258911133
global_step=52448, episodic_return=[-12.16], time=0.008626461029052734
global_step=52568, episodic_return=[2.19], time=0.05224418640136719
global_step=52800, episodic_return=[-34.27], time=0.09154486656188965
global_step=53024, episodic_return=[-9.78], time=0.09545040130615234
global_step=53176, episodic_return=[-19.53], time=0.05427384376525879
global_step=53296, episodic_return=[-90.96], time=0.05196022987365723
global_step=53408, episodic_return=[-559.99], time=0.05557608604431152
global_step=53536, episodic_return=[ -1.81 -32.96], time=0.05064129829406738
global_step=53928, episodic_return=[-34.96], time=0.18063116073608398
global_step=54104, episodic_return=[-1.61], time=0.07024908065795898
global_step=54328, episodic_return=[-51.54], time=0.09877347946166992
global_step=54336, episodic_return=[-8.21], time=0.0028727054595947266
global_step=54544, episodic_return=[-63.41], time=0.08896374702453613
global_step=54672, episodic_return=[-9.89], time=0.0472874641418457
global_step=54944, episodic_return=[-74.82], time=0.11674356460571289
global_step=55096, episodic_return=[-31.04], time=0.05826568603515625
global_step=55776, episodic_return=[-49.41], time=0.27851223945617676
global_step=55904, episodic_return=[-604.27], time=0.05778336524963379
global_step=56080, episodic_return=[0.79], time=0.07413935661315918
global_step=56168, episodic_return=[-47.08], time=0.04845929145812988
global_step=56240, episodic_return=[-164.8], time=0.03578495979309082
global_step=56512, episodic_return=[-16.76 -58.79], time=0.10849976539611816
global_step=56584, episodic_return=[-9.69], time=0.03049159049987793
global_step=56656, episodic_return=[-544.99], time=0.025738239288330078
global_step=56784, episodic_return=[5.75], time=0.05032777786254883
global_step=56848, episodic_return=[-151.28], time=0.025934219360351562
global_step=56896, episodic_return=[-6.92], time=0.023845195770263672
global_step=56984, episodic_return=[-567.92], time=0.03557229042053223
global_step=57024, episodic_return=[-1.99], time=0.01743626594543457
global_step=57216, episodic_return=[-13.31], time=0.07831048965454102
global_step=57472, episodic_return=[-57.56], time=0.10474300384521484
global_step=57512, episodic_return=[-64.91], time=0.022042512893676758
global_step=57560, episodic_return=[-581.68], time=0.017711639404296875
global_step=57688, episodic_return=[-6.22], time=0.05663919448852539
global_step=57840, episodic_return=[-5.69], time=0.0626993179321289
global_step=58040, episodic_return=[-63.4], time=0.08768177032470703
global_step=58152, episodic_return=[-24.81], time=0.04710555076599121
global_step=58208, episodic_return=[-3.4], time=0.028239727020263672
global_step=58232, episodic_return=[-32.79], time=0.010080337524414062
global_step=58368, episodic_return=[-54.49], time=0.05858802795410156
global_step=58568, episodic_return=[-128.22], time=0.08284354209899902
global_step=58608, episodic_return=[-17.48], time=0.019489765167236328
global_step=58744, episodic_return=[-15.25], time=0.054459571838378906
global_step=58880, episodic_return=[-22.12], time=0.06562662124633789
global_step=58904, episodic_return=[-31.88], time=0.01154637336730957
global_step=58928, episodic_return=[-68.74], time=0.010530471801757812
global_step=59008, episodic_return=[14.78], time=0.03645491600036621
global_step=59024, episodic_return=[-13.49], time=0.005780696868896484
global_step=59208, episodic_return=[-30.65], time=0.07472968101501465
global_step=59360, episodic_return=[-42.47], time=0.05916142463684082
global_step=59392, episodic_return=[-14.47], time=0.014415264129638672
global_step=59744, episodic_return=[-96.7], time=0.1355912685394287
global_step=59768, episodic_return=[-14.69], time=0.009839296340942383
global_step=60104, episodic_return=[-99.], time=0.13344812393188477
global_step=60152, episodic_return=[-46.83], time=0.018871068954467773
global_step=60208, episodic_return=[-1.41], time=0.024867773056030273
global_step=60432, episodic_return=[ -52.67 -542.21], time=0.08702325820922852
global_step=60648, episodic_return=[-108.63], time=0.08544087409973145
global_step=60896, episodic_return=[-42.87], time=0.1208949089050293
global_step=61000, episodic_return=[-122.54], time=0.09192109107971191
global_step=61120, episodic_return=[-46.98], time=0.05679035186767578
global_step=61136, episodic_return=[-22.05], time=0.00508880615234375
global_step=61248, episodic_return=[-73.58], time=0.06484699249267578
global_step=61328, episodic_return=[-12.36], time=0.04267430305480957
global_step=61344, episodic_return=[-12.81], time=0.007937431335449219
global_step=61512, episodic_return=[-7.71], time=0.09464716911315918
global_step=61728, episodic_return=[-138.91], time=0.10766482353210449
global_step=61768, episodic_return=[-15.16], time=0.01910543441772461
global_step=61840, episodic_return=[-1.38], time=0.04107189178466797
global_step=62160, episodic_return=[-42.08], time=0.1663501262664795
global_step=62416, episodic_return=[-40.12], time=0.1401965618133545
global_step=62616, episodic_return=[-61.97], time=0.11635470390319824
global_step=62720, episodic_return=[-28.7], time=0.06558346748352051
global_step=63488, episodic_return=[-100.85], time=0.38528966903686523
global_step=63496, episodic_return=[-162.39], time=0.0030510425567626953
global_step=63944, episodic_return=[-191.79], time=0.23016071319580078
global_step=64048, episodic_return=[-11.87], time=0.057111501693725586
global_step=64144, episodic_return=[-6.68], time=0.045874834060668945
global_step=64216, episodic_return=[-3.82], time=0.04292488098144531
global_step=64856, episodic_return=[-515.1], time=0.3349118232727051
global_step=64968, episodic_return=[-53.16], time=0.052271366119384766
global_step=64976, episodic_return=[-118.96], time=0.0038144588470458984
global_step=64992, episodic_return=[-580.99], time=0.006947755813598633
global_step=65112, episodic_return=[-236.28], time=0.05868816375732422
global_step=65384, episodic_return=[10.18], time=0.12543606758117676
global_step=65408, episodic_return=[-71.27   9.64], time=0.009679079055786133
